id_estacion,estacion_ruta,tipo_servicio,tipo_servicio_agrupado,zona_largo,zona,corredor_servicio,gps_latitud,gps_longitud,Nombre_estacion
161,SAN BOSCO,Estacion,Estacion,Zona 0 - Centro,Siete,Carrera 15,3442279,"-76,532,534",San Bosco
162,SAN LUIS,Estacion,Estacion,Zona 3 - Paso Del Comercio,Tres,Oriental,3476802,"-76,487,856",San Luis
163,SAN NICOLAS,Estacion,Estacion,Zona 0 - Centro,Cero,Carrera 1,3458565,"-76,525,707",San Nicolas
164,SAN PASCUAL,Estacion,Estacion,Zona 0 - Centro,Cero,Carrera 15,3442664,"-76,527,433",San Pascual
165,SAN PEDRO,Estacion,Estacion,Zona 0 - Centro,Cero,Calle 15,34544,"-76,530,136",San Pedro
166,SANTA MONICA,Estacion,Estacion,Zona 8 - Calipso,Ocho,Aguablanca,3434672,"-7,651,402",Santa Monica
167,SIMON BOLIVAR,Terminal,Estacion,Zona 6 - Simón Bolívar,Seis,Oriental,339758,"-76,523,701",Simon Bolivar
168,ST. LIBRADA,Estacion,Estacion,Zona 0 - Centro,Cero,Calle 5,3439812,"-7,653,702",St. Librada
169,SUCRE,Estacion,Estacion,Zona 0 - Centro,Cero,Calle 15,34439,"-7,652,642",Sucre
170,T12,Rutas,Pretroncal,Zona 1 - Sur,Pretroncal,Ruta,0,0,T12
171,T15,Rutas,Pretroncal,Zona 1 - Sur,Pretroncal,Ruta,0,0,T15
172,T31,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,T31
173,T40,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,T40
174,T47,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,T47
175,T50,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,T50
176,T51,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,T51
177,T52,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,T52
178,T62,Rutas,Pretroncal,Zona 6 - Simón Bolívar,Pretroncal,Ruta,0,0,T62
179,TEQUENDAMA,Estacion,Estacion,Zona 7 - Cañaveralaejo,Siete,Calle 5,3423483,"-76,547,024",Tequendama
180,TORRE CALI,Estacion,Estacion,Zona 0 - Centro,Cero,Avenida 3,3456828,"-76,530,269",Torre Cali
181,TREBOL,Estacion,Estacion,Zona 4 - Andrés Sanín,Cuatro,Carrera 15,3443533,"-76,495,969",Trebol
182,TRONCAL UNIDA,Estacion,Estacion,Zona 5 - Aguablanca,Cinco,Aguablanca,3424778,"-76,494,488",Troncal Unida
183,U22,Prueba,Prueba,Prueba,Prueba,Ruta,0,0,U22
184,ULPI LLOREDA,Estacion,Estacion,Zona 4 - Andrés Sanín,Cinco,Oriental,3445718,"-76,490,033",Ulpi Lloreda
185,UND. DEPORT,Estacion,Estacion,Zona 7 - Cañaveralaejo,Siete,Calle 5,3414849,"-76,548,368",Und. Deport
186,UNIVALLE,Estacion,Estacion,Zona 1 - Sur,Uno,Calle 5,337082,"-76,536,712",Univalle
